vento_medio,std_vento,zavorra,delay_secondi,angolo_rampa,APOGEO_MISURATO,ANGOLO_ACC_C6,INCLINAZIONE
3.52,0.18,40,3.8,-8.34,,,
1.91,0.02,40,3.05,-5.58,,,
2.27,0.39,40,3.96,-6.76,,,
1.11,0.1,40,2.56,-2.86,,,
1.58,0.31,40,3.41,-5.53,,,
5.36,0.84,40,2.41,-12.11,,,
0.21,0.01,40,3.52,-0.66,,,
2.53,0.39,40,3.25,-9.41,,,
4.45,0.78,40,3.33,-18.2,,,
4.96,0.87,40,3.59,-15.72,,,
3.36,0.2,40,2.33,-11.49,,,
4.1,0.83,40,2.84,-13.49,,,
4.0,0.73,40,3.68,-15.64,,,
3.07,0.64,40,3.73,-12.74,,,
4.68,0.62,40,2.7,-15.02,,,
5.57,0.45,40,2.26,-14.59,,,
0.96,0.0,40,3.13,-3.52,,,
1.8,0.44,40,3.75,-5.53,,,
1.51,0.17,40,2.12,-4.55,,,
5.13,0.16,40,3.63,-21.39,,,
4.71,0.13,40,2.91,-17.71,,,
2.77,0.22,40,3.28,-6.81,,,
0.69,0.05,40,4.07,-2.5,,,
3.31,0.73,40,3.89,-11.09,,,
2.94,0.64,40,3.18,-9.97,,,
0.77,0.01,40,3.08,-2.14,,,
3.23,0.44,40,2.2,-8.56,,,
0.91,0.21,40,2.48,-2.03,,,
4.39,0.46,40,2.25,-15.63,,,
5.49,0.59,40,2.6,-20.37,,,
2.68,0.44,40,2.62,-6.83,,,
4.91,0.61,40,3.35,-15.96,,,
0.43,0.01,40,4.01,-1.0,,,
0.49,0.05,40,2.5,-1.92,,,
2.12,0.02,40,3.01,-5.28,,,
1.42,0.3,40,3.86,-3.24,,,
2.34,0.1,40,2.69,-8.05,,,
4.24,0.98,40,3.9,-11.45,,,
5.23,1.2,40,2.76,-21.29,,,
3.62,0.53,40,3.45,-13.79,,,
0.26,0.03,40,3.57,-0.71,,,
5.71,0.28,40,2.86,-16.9,,,
3.75,0.54,40,2.97,-14.96,,,
5.91,0.33,40,2.8,-21.16,,,
2.0,0.38,40,2.35,-5.7,,,
3.91,0.5,40,4.06,-15.68,,,
0.08,0.02,40,2.46,0.0,,,
1.49,0.32,60,2.2,-5.74,,,
5.27,1.27,60,2.15,-16.81,,,
2.79,0.48,60,2.29,-8.04,,,
1.31,0.31,60,3.0,-3.29,,,
0.36,0.04,60,3.63,-1.47,,,
2.68,0.24,60,3.47,-8.07,,,
4.43,0.46,60,3.07,-11.47,,,
0.72,0.03,60,3.26,-1.92,,,
5.74,1.02,60,3.42,-15.04,,,
2.26,0.42,60,2.3,-5.27,,,
0.56,0.05,60,3.31,-2.14,,,
4.66,0.6,60,2.61,-11.18,,,
4.28,0.68,60,2.59,-14.38,,,
2.62,0.32,60,3.04,-8.38,,,
3.88,0.12,60,2.7,-11.29,,,
5.55,0.75,60,3.57,-19.92,,,
3.4,0.02,60,2.37,-10.51,,,
1.59,0.04,60,2.41,-5.25,,,
3.21,0.52,60,2.49,-11.72,,,
4.76,0.95,60,3.72,-11.71,,,
1.78,0.4,60,2.82,-7.44,,,
4.05,0.06,60,3.95,-13.97,,,
4.13,0.27,60,2.14,-16.89,,,
3.3,0.31,60,3.87,-7.95,,,
1.16,0.14,60,3.82,-4.2,,,
1.38,0.09,60,3.66,-4.32,,,
2.01,0.42,60,3.52,-6.87,,,
5.93,0.62,60,3.77,-19.27,,,
3.02,0.15,60,2.89,-6.92,,,
0.88,0.04,60,3.47,-2.43,,,
4.97,0.91,60,2.45,-18.79,,,
2.16,0.32,60,2.33,-5.92,,,
2.98,0.57,60,3.2,-7.63,,,
3.51,0.13,60,2.85,-11.9,,,
5.84,1.44,60,2.22,-21.67,,,
5.33,0.77,60,2.77,-16.36,,,
1.86,0.26,60,3.12,-7.5,,,
2.41,0.18,60,2.94,-9.01,,,
0.02,0.0,60,3.24,0.0,,,
5.05,0.3,60,2.91,-14.95,,,
0.62,0.05,60,2.64,-1.74,,,
0.27,0.06,60,3.36,-0.73,,,
3.73,0.85,60,3.77,-11.08,,,
0.17,0.03,60,3.6,0.0,,,
4.5,0.11,60,3.13,-10.04,,,
4.82,0.54,60,3.99,-18.89,,,
5.48,0.1,60,2.71,-19.51,,,
3.62,0.71,60,3.91,-14.91,,,
0.97,0.01,60,2.54,-3.87,,,
2.37,0.36,60,3.32,-9.27,,,
